,time,Nederbördsmängd
646,2020-02-12:23,0.0
647,2020-02-13:00,0.0
648,2020-02-13:01,0.0
649,2020-02-13:02,0.0
650,2020-02-13:03,0.0
651,2020-02-13:04,0.0
652,2020-02-13:05,0.0
653,2020-02-13:06,0.0
654,2020-02-13:07,0.0
655,2020-02-13:08,0.0
656,2020-02-13:09,0.0
657,2020-02-13:10,0.0
658,2020-02-13:11,0.0
659,2020-02-13:12,0.0
660,2020-02-13:13,0.0
661,2020-02-13:14,0.0
662,2020-02-13:15,0.0
663,2020-02-13:16,0.0
664,2020-02-13:17,0.0
665,2020-02-13:18,0.0
666,2020-02-13:19,0.0
667,2020-02-13:20,0.0
668,2020-02-13:21,0.0
669,2020-02-13:22,0.0
670,2020-02-13:23,0.0
671,2020-02-14:00,0.0
672,2020-02-14:01,0.0
673,2020-02-14:02,0.0
674,2020-02-14:03,0.0
675,2020-02-14:04,0.0
676,2020-02-14:05,0.0
677,2020-02-14:06,0.0
678,2020-02-14:07,0.0
679,2020-02-14:08,0.0
680,2020-02-14:09,0.0
681,2020-02-14:10,0.0
682,2020-02-14:11,0.0
683,2020-02-14:12,0.0
684,2020-02-14:13,0.0
685,2020-02-14:14,0.0
686,2020-02-14:15,0.0
687,2020-02-14:16,0.0
688,2020-02-14:17,0.0
689,2020-02-14:18,0.0
690,2020-02-14:19,0.0
691,2020-02-14:20,0.0
692,2020-02-14:21,0.0
693,2020-02-14:22,0.0
694,2020-02-14:23,0.0
695,2020-02-15:00,0.0
696,2020-02-15:01,0.0
697,2020-02-15:02,0.0
698,2020-02-15:03,0.0
699,2020-02-15:04,0.0
700,2020-02-15:05,0.0
701,2020-02-15:06,0.0
702,2020-02-15:07,0.0
703,2020-02-15:08,0.0
704,2020-02-15:09,0.9
705,2020-02-15:10,0.3
706,2020-02-15:11,0.0
707,2020-02-15:12,0.0
708,2020-02-15:13,0.0
709,2020-02-15:14,0.0
710,2020-02-15:15,0.0
711,2020-02-15:16,0.0
712,2020-02-15:17,0.0
713,2020-02-15:18,0.4
714,2020-02-15:19,0.0
715,2020-02-15:20,0.0
716,2020-02-15:21,0.0
